query_word,resolved_cbow,resolved_skipgram,rank,neighbor_cbow,cosine_cbow,neighbor_skipgram,cosine_skipgram
research,research,research,1,rfcs,0.891480,proposal,0.625771
research,research,research,2,relevant,0.853140,collaborations,0.621133
research,research,research,3,interested,0.852318,interdisciplinary,0.619378
research,research,research,4,papers,0.847451,years,0.615649
research,research,research,5,drafts,0.846865,drafts,0.607750
student,student,student,1,who,0.972873,casual,0.772301
student,student,student,2,allowed,0.968310,repeat,0.771145
student,student,student,3,candidacy,0.961803,requesting,0.768562
student,student,student,4,completed,0.959996,allowed,0.766287
student,student,student,5,if,0.957045,attendance,0.765180
phd,phd,phd,1,mtech,0.988845,mtech,0.905508
phd,phd,phd,2,offered,0.975931,shortlisted,0.871444
phd,phd,phd,3,shortlisted,0.954881,semester-ii,0.847329
phd,phd,phd,4,btech,0.950411,pre-requisites,0.841550
phd,phd,phd,5,semester-ii,0.931697,tech,0.835798
exam,examination,examination,1,one,0.983538,make-up,0.867814
exam,examination,examination,2,after,0.982231,seminar,0.866695
exam,examination,examination,3,comprehensive,0.980266,comprehensive,0.861270
exam,examination,examination,4,additional,0.977007,candidacy,0.858255
exam,examination,examination,5,under,0.976286,minutes,0.839600
